Country_Code,Country_Namr,Long_Name,Table_Name,Literacy.PC1,Hi.Degree.PC1,Hi.Degree.PC2,Hi.Degree.PC3,Hi.Degree.PC4,Schl.Yrs.PC1,Schl.Yrs.PC2,EG_ELC_ACCS_ZS,EN_POP_SLUM_UR_ZS,FB_ATM_TOTL_P5,IC_ELC_TIME,IC_FRM_ISOC_ZS,IC_TAX_TOTL_CP_ZS,IQ_WEF_PORT_XQ,SE_XPD_TOTL_GD_ZS,SL_EMP_TOTL_SP_ZS,SL_TLF_SECO_ZS,SL_TLF_TOTL_IN,TM_TAX_MANF_SM_FN_ZS,UIS_PTRHC_2,UIS_PTRHC_3,UIS_PTRHC_56,Cluster
CHL,Chile,Republic of Chile,Chile,60.9742770254565,0.873026012344315,0.157215477624448,0.84550178942955,-0.669796861871044,3.0436700450227,8.0358130120806e-02,99.6,9,56.57921082,30,22.1,28.9,4.906070468,4.55744,58,57,8745002,5.98,20.99118,21.00627,14.97998,3
CUB,Cuba,Republic of Cuba,Cuba,64.5735790140038,2.49952093996476,-5.62124068538405e-02,-9.32373233188459e-02,1.3630591604103,3.46436567601275,1.80182890126784,100,0,0,0,0,0,0,12.83727,54.90000153,54,5383687,10.99,8.88597,8.87554,4.59873,3
CYP,Cyprus,Republic of Cyprus,Cyprus,63.7430967097055,3.42878407786629,9.6893379494814e-02,-0.508825858689296,-0.296848072423404,4.88918090001834,0.83842806554822,100,0,53.12688158,137,0,24.4,4.420815453,6.64467,53.90000153,38.40000153,613733,4.05,9.66562,9.77062,12.68324,3
ESP,Spain,Kingdom of Spain,Spain,62.4409698503742,1.15844274547526,1.91060824850372,0.441838937740394,0.272276908764252,3.87562962650696,-9.54206290180187e-03,100,0,119.6278735,107,21.3,50,5.652581036,4.36743,44.40000153,23.29999924,23342592,4.05,11.21062,11.58455,12.6389,3
GRC,Greece,Hellenic Republic,Greece,61.575167451323,0.927308931469721,1.88141079561304,0.564637270696859,0.483857420487307,4.17329855469203,0.711714038584346,100,0,59.08688711,51,11.7,49.6,4.593618812,3.96574,39.09999847,41.90000153,4926892,4.05,8.09305,7.68323,20.78964,3
HRV,Croatia,Republic of Croatia,Croatia,63.8712852844276,1.3141864360598,1.23391736393161,0.806467859140973,-0.839560341887146,5.96081547766045,-0.724217754423113,100,0,116.8194345,70,24.1,20,4.54886002,4.15795,42.70000076,63.90000153,1845114,4.12,8.74344,7.0019,9.26592,3
HUN,Hungary,Hungary,Hungary,62.4784064412512,4.04766171487642,-1.34182845934954,-7.11669349817914e-02,0.821218714019203,6.60401517387946,-1.85537154866385,100,0,58.03842307,252,48.8,48.4,3.37181917,4.64508,47.90000153,61.90000153,4383005,4.05,9.68106,11.2015,15.166,3
ISR,Israel,State of Israel,Israel,53.2944724099267,2.92696338233032,2.45489354770199,-1.37289729398605,-0.302114437882272,7.38015304533854,-1.02245778706664,100,0,126.1091054,102,33,30.6,4.006035322,5.63281,59.09999847,40.79999924,3738337,3.23,11.33172,8.68793,6.28413,3
ITA,Italy,Italian Republic,Italy,63.9554065349389,0.705925190614072,1.4340701241263,1.48064483236692,-5.40750417797228e-02,3.16656176957263,0.704422938361859,100,0,91.85098876,124,0,64.8,4.320676729,4.14054,43.09999847,47.20000076,25785202,4.05,10.83621,11.75716,19.02737,3
KAZ,Kazakhstan,Republic of Kazakhstan,Kazakhstan,64.6091609965037,3.09736896398094,3.17095528947736,-2.6155547602054,0.481067609251359,5.58205576894076,-0.608437553008474,100,0,71.9984389,83,15,29.2,2.912248952,2.88742,69.69999695,43.59999847,9284810,7.4,0,0,12.97519,3
